CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
3,Sudeste,31,Minas Gerais,3115300,311530020,Cataguases,Vista Alegre,2,710,402,402,0,2.720306513,,261
3,Sudeste,31,Minas Gerais,3115359,311535905,Catas Altas,Catas Altas,8,4593,2278,2253,25,2.753301321,3.601440576,1666
3,Sudeste,31,Minas Gerais,3115359,311535910,Catas Altas,Morro D'Água Quente,2,880,430,430,0,2.732919255,4.037267081,322
3,Sudeste,31,Minas Gerais,3115409,311540905,Catas Altas da Noruega,Catas Altas da Noruega,12,3110,1594,1593,1,2.835164835,4.578754579,1092
3,Sudeste,31,Minas Gerais,3115458,311545805,Catuji,Catuji,19,7030,3677,3674,3,2.822159775,0.281011642,2491
3,Sudeste,31,Minas Gerais,3115474,311547405,Catuti,Catuti,7,2540,1233,1232,1,2.728249194,0.214822771,931
3,Sudeste,31,Minas Gerais,3115474,311547410,Catuti,Barreiro Branco,9,2199,1175,1174,1,2.815620999,,781
3,Sudeste,31,Minas Gerais,3115508,311550805,Caxambu,Caxambu,43,21056,10978,10963,15,2.567647059,2.426470588,8160
3,Sudeste,31,Minas Gerais,3115607,311560705,Cedro do Abaeté,Cedro do Abaeté,4,1081,690,690,0,2.407572383,0.890868597,449
3,Sudeste,31,Minas Gerais,3115706,311570605,Central de Minas,Central de Minas,12,4420,2505,2503,2,2.478968031,1.570386988,1783
3,Sudeste,31,Minas Gerais,3115706,311570610,Central de Minas,Floresta,4,1751,1111,1111,0,2.398630137,1.095890411,730
3,Sudeste,31,Minas Gerais,3115805,311580505,Centralina,Centralina,27,10207,4165,4161,4,2.71143617,0.026595745,3760
3,Sudeste,31,Minas Gerais,3115904,311590405,Chácara,Chácara,12,3075,2518,2515,3,2.55527847,3.49127182,1203
3,Sudeste,31,Minas Gerais,3116001,311600105,Chalé,Chalé,10,3503,1742,1739,3,2.59984814,0.075930144,1317
3,Sudeste,31,Minas Gerais,3116001,311600110,Chalé,Professor Sperber,3,811,436,435,1,2.703333333,1,300
3,Sudeste,31,Minas Gerais,3116001,311600115,Chalé,Penha do Coco,3,1152,530,530,0,2.953846154,,390
3,Sudeste,31,Minas Gerais,3116001,311600120,Chalé,Água Limpa de Chalé,4,609,278,278,0,2.768181818,,220
3,Sudeste,31,Minas Gerais,3116100,311610005,Chapada do Norte,Chapada do Norte,31,6225,3558,3552,6,2.994227994,,2079
3,Sudeste,31,Minas Gerais,3116100,311610010,Chapada do Norte,Cachoeira do Norte,2,597,307,307,0,2.912195122,,205
3,Sudeste,31,Minas Gerais,3116100,311610020,Chapada do Norte,Granjas do Norte,7,1374,637,635,2,3.180555556,,432
3,Sudeste,31,Minas Gerais,3116100,311610030,Chapada do Norte,Santa Rita do Araçuaí,3,772,413,413,0,3.003891051,,257
3,Sudeste,31,Minas Gerais,3116100,311610040,Chapada do Norte,São Sebastião da Boa Vista,8,1369,980,979,1,2.700197239,,507
3,Sudeste,31,Minas Gerais,3116159,311615905,Chapada Gaúcha,Chapada Gaúcha,17,8884,3260,3258,2,3.149396735,0.212916962,2818
3,Sudeste,31,Minas Gerais,3116159,311615920,Chapada Gaúcha,Serra das Araras,10,2813,1493,1491,2,3.252023121,0.115606936,865
3,Sudeste,31,Minas Gerais,3116159,311615930,Chapada Gaúcha,Vila Bom Jesus de Minas,2,262,127,127,0,3.638888889,1.388888889,72
3,Sudeste,31,Minas Gerais,3116159,311615935,Chapada Gaúcha,Vila Retiro Velho,2,396,200,200,0,2.955223881,,134
3,Sudeste,31,Minas Gerais,3116209,311620905,Chiador,Chiador,5,1700,1014,1014,0,2.62345679,,648
3,Sudeste,31,Minas Gerais,3116209,311620910,Chiador,Penha Longa,3,1100,595,595,0,2.820512821,,390
3,Sudeste,31,Minas Gerais,3116308,311630805,Cipotânea,Cipotânea,15,5581,3052,3046,6,2.709740578,3.328438571,2043
3,Sudeste,31,Minas Gerais,3116407,311640705,Claraval,Claraval,15,4658,2407,2402,5,2.792293799,,1661
3,Sudeste,31,Minas Gerais,3116506,311650605,Claro dos Poções,Claro dos Poções,17,5095,3154,3150,4,2.560301508,1.809045226,1990
3,Sudeste,31,Minas Gerais,3116506,311650610,Claro dos Poções,Vista Alegre,4,1653,970,969,1,2.623809524,3.492063492,630
3,Sudeste,31,Minas Gerais,3116506,311650615,Claro dos Poções,Boa Sorte de Claro dos Poções,3,418,360,360,0,2.335195531,2.234636872,179
3,Sudeste,31,Minas Gerais,3116605,311660505,Cláudio,Cláudio,69,27015,11815,11796,19,2.786549405,0.76564925,9665
